Year,Month,Country,Mode,TradeType,TradeValue,Weight,WeightLb
2008,1,Canada,Vessel,Import,1710346984.0,5239872.5,11551927.71
2008,1,Mexico,Air,Export,616030487.0,5090.75,11223.17
2008,1,Mexico,Air,Import,415955980.0,9254.49,20402.63
2008,1,Mexico,Foreign Trade Zones (FTZs),Import,66654765.0,5699.95,12566.22
2008,1,Mexico,Mail (U.S. Postal Service),Export,92865.0,0.0,0.0
2008,1,Mexico,Other/Unknown,Export,433574668.0,0.0,0.0
2008,1,Mexico,Other/Unknown,Import,212308491.0,184.92,407.68
2008,1,Mexico,Pipeline,Export,65266734.0,0.0,0.0
2008,1,Mexico,Pipeline,Import,22075261.0,39469.4,87015.03
2008,1,Mexico,Rail,Export,1757498405.0,0.0,0.0
2008,1,Mexico,Rail,Import,1683378975.0,696875.47,1536345.6
2008,1,Mexico,Truck,Export,7965125402.0,0.0,0.0
2008,1,Mexico,Truck,Import,10911065426.0,2569450.85,5664662.73
2008,1,Mexico,Vessel,Export,1040754991.0,2020253.57,4453891.43
2008,1,Mexico,Vessel,Import,3708142464.0,8059127.83,17767314.4
2008,2,Canada,Air,Export,1477325806.0,20999.27,46295.41
2008,2,Canada,Air,Import,754273174.0,6615.7,14585.1
2008,2,Canada,Foreign Trade Zones (FTZs),Import,29906942.0,55425.43,122192.01
2008,2,Canada,Mail (U.S. Postal Service),Export,4065068.0,0.0,0.0
2008,2,Canada,Other/Unknown,Export,2047652941.0,0.0,0.0
2008,2,Canada,Other/Unknown,Import,946297834.0,328.83,724.95
2008,2,Canada,Pipeline,Export,272601613.0,0.0,0.0
2008,2,Canada,Pipeline,Import,6723690443.0,7586843.22,16726106.3
2008,2,Canada,Rail,Export,2438069536.0,0.0,0.0
2008,2,Canada,Rail,Import,5364337976.0,6367477.49,14037868.22
2008,2,Canada,Truck,Export,14635580406.0,0.0,0.0
2008,2,Canada,Truck,Import,12535627610.0,5262795.55,11602464.33
2008,2,Canada,Vessel,Export,327301515.0,744918.96,1642263.24
2008,2,Canada,Vessel,Import,1298942159.0,4192949.05,9243859.33
2008,2,Mexico,Air,Export,528830729.0,4726.72,10420.62
